,0
lag_1,0.10699739
roll_mean_3,0.07641345
hour_cos,0.044109862
hour_sin,0.0409868
is_weekend,0.038657382
roll_std_3,0.033989944
roll_std_6,0.030527014
hour,0.029948927
lag_24,0.02926716
lag_2,0.02487907
dow_sin,0.024088943
roll_mean_168,0.020595917
lag_168,0.017661264
RH_6,0.0175224
roll_mean_12,0.017498987
roll_std_12,0.01701528
T5,0.016444216
roll_mean_6,0.016201405
lag_6,0.015965953
RH_4,0.015820228
RH_3,0.015716007
T_out,0.015479722
roll_std_168,0.01487113
dayofweek,0.014695797
Visibility,0.01457463
T9,0.01420949
lag_12,0.013710291
lag_3,0.013640707
T4,0.013357618
T7,0.013350231
T8,0.013285228
T3,0.013103865
dow_cos,0.012877106
RH_5,0.01240142
RH_7,0.012396184
RH_8,0.012395952
RH_out,0.012323949
roll_std_24,0.01222614
lag_48,0.011965052
Tdewpoint,0.0118066
RH_9,0.011743776
Windspeed,0.011581808
lights,0.011473599
roll_mean_24,0.010211463
RH_2,0.010167062
Press_mm_hg,0.009919561
T6,0.009621471
T2,0.009261115
RH_1,0.007655335
T1,0.005386022
