p,d,q,AIC
6,0,0,23084.8090587373
0,0,6,23087.618093510595
0,1,6,23091.167618188185
5,0,0,23094.42995751995
4,1,6,23096.004516714194
2,1,4,23098.13986436234
1,0,4,23098.357991212244
0,0,5,23101.703960271414
3,1,6,23103.088553194444
1,0,3,23106.1953654757
4,0,0,23107.531388995383
3,1,3,23109.96572741305
2,0,3,23112.70216402557
2,1,3,23115.15343915632
2,1,2,23115.262476559798
3,1,2,23115.653863777297
3,0,0,23116.027377640632
2,0,2,23117.98124881133
4,1,2,23118.391756067744
1,0,2,23118.727980257834
2,0,0,23124.2763520893
2,1,1,23124.292687414774
2,0,1,23126.108352891875
5,1,5,23128.370394465404
0,1,5,23129.131411969855
2,0,4,23133.73123094649
0,0,4,23139.571066570577
1,0,1,23142.854392960857
3,0,5,23144.582293552434
3,1,5,23151.369797274252
0,1,4,23155.980459349783
5,0,3,23160.794498481155
0,0,3,23164.459815284143
3,1,4,23171.277559469883
6,1,5,23184.630429468853
0,1,3,23196.859217813413
4,0,5,23215.58733697255
4,1,5,23221.012378731157
1,0,5,23223.186403083564
3,2,2,23224.55033282208
5,1,6,23230.624166602574
0,0,2,23236.519407522428
6,1,0,23240.757283503932
6,2,1,23242.541141008398
6,0,1,23245.448258714423
6,0,4,23252.63533013219
4,1,3,23254.677388829532
5,0,6,23258.925918840894
5,1,0,23260.4151905188
2,0,6,23260.880674606622
2,0,5,23261.40055764194
5,2,1,23261.93823685417
1,1,1,23263.850245016205
3,0,6,23264.438423302294
1,0,0,23266.73948877047
6,0,5,23270.086002956552
5,2,2,23270.212848392068
4,1,0,23276.284035798817
4,2,1,23278.00740271775
0,2,3,23279.21521163584
1,0,6,23279.55041701993
6,2,2,23282.901158709647
1,2,3,23286.862904848014
0,1,2,23286.98389392472
0,2,2,23293.199034763937
1,1,2,23295.374870594824
4,0,6,23298.456471642123
4,0,3,23299.55919248735
0,1,1,23302.217127505995
6,1,6,23303.349126512934
1,1,5,23306.587420910255
3,0,3,23311.443630578666
1,1,4,23317.1186934223
6,0,2,23323.777815681606
5,0,4,23327.137604220436
3,1,0,23332.224133003314
6,0,6,23332.832136321686
1,1,6,23333.622251333218
3,2,1,23333.81802409273
4,0,4,23343.78956906993
2,1,0,23364.34211895192
2,2,1,23365.436558302812
3,0,4,23366.14773153937
3,0,2,23380.462435263384
5,0,2,23385.703972424602
5,0,5,23389.727110314612
2,1,6,23390.759008571156
2,1,5,23395.72324408751
6,1,4,23400.710925319312
1,2,1,23405.109528282042
1,1,0,23414.482531511025
6,0,3,23429.50332649217
6,2,3,23435.025755470015
0,0,1,23488.9267712534
1,1,3,23506.14746622774
5,1,4,23508.777608722117
4,1,4,23548.492861591512
2,2,4,23556.321958253233
5,1,3,23566.974048342476
3,2,6,23606.960379557422
3,2,5,23609.93676705758
1,2,4,23626.673723342003
5,2,4,23632.244262762164
4,2,3,23644.944396821367
6,1,3,23645.001120087174
4,2,4,23645.176106525294
4,2,6,23645.292783764693
1,2,6,23655.848829638166
2,2,6,23658.043014897863
5,2,5,23664.638966041963
0,2,6,23664.85241523836
2,2,2,23670.527809988642
5,2,6,23671.232749216862
2,2,5,23672.632831866147
6,2,6,23675.765185975477
6,2,5,23685.758540633717
4,2,5,23686.48201859837
3,2,3,23701.851051588033
3,2,4,23705.048416332334
4,2,2,23707.32331292701
6,2,4,23707.67945900408
5,2,3,23713.558741421766
1,2,5,23724.266888782317
6,2,0,23735.97098420268
0,2,5,23739.578496977323
0,2,4,23784.42458681617
2,2,3,23800.7007903138
5,2,0,23823.10611987645
0,2,1,23850.795570540882
0,1,0,23859.563229705636
0,0,0,23862.169511342065
1,2,2,23896.6927842413
4,2,0,23938.551664674746
3,2,0,24141.189283096548
2,2,0,24324.262987366743
1,2,0,24772.57230443298
0,2,0,26069.53942117896
4,0,2,35652.16576818411
3,0,1,
3,1,1,
4,0,1,
4,1,1,
5,0,1,
5,1,1,
5,1,2,
6,1,1,
6,1,2,
